iter	Logloss
0	0.6772841792
1	0.6651599746
2	0.6512413668
3	0.6376295713
4	0.6260389153
5	0.61472971
6	0.604435636
7	0.5959667518
8	0.5864229002
9	0.5782614508
10	0.5693419063
11	0.5613055646
12	0.5535442141
13	0.5464041359
14	0.5401750961
15	0.53406546
16	0.5282834374
17	0.5223516271
18	0.5168954512
19	0.5119940974
20	0.5067680577
21	0.5018246016
22	0.4975899113
23	0.4936597627
24	0.4894194475
25	0.4855584983
26	0.4822658573
27	0.4788971782
28	0.4763170607
29	0.4731510408
30	0.4703328806
31	0.4680011933
32	0.4650922351
33	0.4625354525
34	0.4603086448
35	0.4580426434
36	0.4558535893
37	0.4535041803
38	0.4517208767
39	0.4499537146
40	0.4481720473
41	0.446293756
42	0.4444286785
43	0.4424924682
44	0.4408880479
45	0.439670399
46	0.438223529
47	0.4368071378
48	0.4354285505
49	0.4344699136
50	0.4332478173
51	0.4321505447
52	0.4308573209
53	0.4297434208
54	0.4287397534
55	0.4277056799
56	0.4269845981
57	0.4260388833
58	0.4252202838
59	0.4241139259
60	0.42327956
61	0.4223258721
62	0.4213439637
63	0.420586499
64	0.4196349578
65	0.4188018914
66	0.4180874714
67	0.4174286293
68	0.4166741233
69	0.4159447851
70	0.4152665084
71	0.4145830425
72	0.4137765547
73	0.4131201424
74	0.4124286293
75	0.4119955118
76	0.4113611568
77	0.4108654155
78	0.4102621645
79	0.4097845663
80	0.4093387588
81	0.4087945952
82	0.4082723655
83	0.4077626869
84	0.4073549727
85	0.4067546798
86	0.4062286437
87	0.4056649526
88	0.4051399721
89	0.4046938809
90	0.4042050839
91	0.4038411029
92	0.4037200815
93	0.4032680844
94	0.4029020653
95	0.402606326
96	0.4022540529
97	0.4018890447
98	0.4015611866
99	0.4011243636
100	0.4006533694
101	0.400322935
102	0.3999309899
103	0.3996050888
104	0.3992383258
105	0.398860253
106	0.3984281929
107	0.3981407788
108	0.3978291489
109	0.3975841379
110	0.3973445237
111	0.3970557255
112	0.3966202957
113	0.3963532398
114	0.3961004577
115	0.3957625115
116	0.3954222482
117	0.3951548343
118	0.3948441193
119	0.3946500138
120	0.3943934782
121	0.3942167007
122	0.3939857713
123	0.3938270515
124	0.3936305001
125	0.3933804956
126	0.3931547862
127	0.3929462705
128	0.3927102868
129	0.3925223814
130	0.3923008784
131	0.3920441819
132	0.3917829994
133	0.3915753696
