iter	Passed	Remaining
0	207	206912
1	210	105194
2	216	72013
3	224	55790
4	231	46010
5	236	39153
6	241	34286
7	247	30653
8	253	27963
9	260	25765
10	266	23971
11	272	22475
12	280	21267
13	286	20176
14	295	19387
15	301	18538
16	307	17777
17	314	17160
18	321	16591
19	327	16050
20	333	15548
21	339	15081
22	344	14641
23	350	14242
24	356	13894
25	361	13558
26	367	13254
27	373	12974
28	378	12678
29	383	12401
30	390	12194
31	396	11987
32	402	11781
33	409	11622
34	416	11480
35	422	11326
36	429	11188
37	436	11051
38	443	10922
39	448	10765
40	455	10664
41	462	10542
42	468	10434
43	475	10320
44	482	10233
45	551	11432
46	558	11328
47	581	11528
48	587	11402
49	591	11245
50	602	11214
51	611	11150
52	620	11089
53	631	11070
54	639	10987
55	649	10953
56	658	10891
57	669	10867
58	676	10793
59	683	10704
60	694	10683
61	701	10610
62	709	10548
63	731	10692
64	736	10597
65	745	10545
66	752	10481
67	760	10418
68	766	10339
69	772	10265
70	780	10216
71	791	10199
72	799	10148
73	805	10076
74	811	10012
75	818	9952
76	825	9895
77	832	9840
78	840	9793
79	847	9743
80	853	9686
81	859	9616
82	864	9550
83	869	9485
84	876	9435
85	883	9393
86	891	9350
87	898	9307
88	905	9267
89	912	9224
90	919	9187
91	927	9155
92	931	9085
93	938	9050
94	945	9010
95	951	8958
96	957	8915
97	963	8866
98	970	8828
99	975	8781
100	982	8742
101	989	8709
102	997	8685
103	1004	8650
104	1010	8614
105	1018	8591
106	1025	8562
107	1033	8534
108	1039	8496
109	1046	8468
110	1053	8434
111	1059	8402
112	1065	8367
113	1072	8331
114	1077	8290
115	1083	8257
116	1088	8216
117	1095	8185
118	1146	8486
119	1154	8468
120	1162	8443
121	1167	8400
122	1174	8372
123	1182	8350
124	1187	8315
125	1193	8279
126	1198	8241
127	1204	8202
128	1209	8163
129	1214	8125
130	1219	8092
131	1225	8058
132	1230	8022
133	1235	7986
134	1240	7946
135	1244	7907
136	1249	7870
137	1253	7832
138	1258	7796
139	1263	7760
140	1268	7726
141	1272	7691
142	1279	7666
143	1286	7648
144	1292	7619
145	1297	7591
146	1302	7557
147	1307	7526
148	1312	7494
149	1317	7463
150	1321	7430
151	1325	7397
152	1330	7367
153	1335	7335
154	1339	7305
155	1345	7279
156	1350	7252
157	1355	7225
158	1360	7196
159	1365	7167
160	1370	7139
161	1374	7109
162	1378	7080
163	1383	7050
164	1387	7022
165	1393	7000
166	1398	6973
167	1402	6945
168	1406	6916
169	1411	6892
170	1416	6867
171	1421	6841
